time,seconds_elapsed,relativeAltitude,pressure
1615525879339299800,0.5062998046875,0,1010.266357421875
1615525879522793700,0.689793701171875,0.2615852355957031,1010.235107421875
1615525879706414800,0.873414794921875,0.4650402069091797,1010.210693359375
1615525879883855600,1.050855712890625,0.6658535003662109,1010.186767578125
1615525880068948700,1.23594873046875,32427.630859375,1
1615525880248948700,1.41594873046875,1.051626205444336,1010.140380859375
1615525880428948700,1.59594873046875,1.051626205444336,1010.140380859375
1615525880603593200,1.77059326171875,1.051626205444336,1010.140380859375
1615525880780687600,1.9476875,1.0542678833007812,1010.14013671875
1615525880968521200,2.135521240234375,32427.630859375,1
1615525881144418300,2.311418212890625,0.9961376190185547,1010.147216796875
1615525881324173800,2.491173828125,0.9934959411621094,1010.1474609375
1615525881504173800,2.671173828125,1.019918441772461,1010.144287109375
1615525881685928700,2.8529287109375,1.019918441772461,1010.144287109375
1615525881871784200,3.0387841796875,1.0701217651367188,1010.13818359375
1615525882047368200,3.2143681640625,1.1203250885009766,1010.13232421875
1615525882227368200,3.3943681640625,0.9565029144287109,1010.15185546875
1615525882405912600,3.57291259765625,0.9565029144287109,1010.15185546875
1615525882583125200,3.750125244140625,0.9617881774902344,1010.1513671875
1615525882763726000,3.93072607421875,1.0278453826904297,1010.143310546875
1615525882943698400,4.110698486328125,1.104471206665039,1010.13427734375
1615525883125312800,4.292312744140625,1.0146331787109375,1010.14501953125
1615525883304822800,4.47182275390625,32427.630859375,1
1615525883486612200,4.6536123046875,1.0859756469726562,1010.13623046875
1615525883673091000,4.840091064453125,1.1123981475830078,1010.13330078125
1615525883853091000,5.020091064453125,1.019918441772461,1010.144287109375
1615525884027394600,5.19439453125,1.019918441772461,1010.144287109375
1615525884208103700,5.375103759765625,0.8904476165771484,1010.15966796875
1615525884384263700,5.551263671875,0.8983745574951172,1010.15869140625
1615525884570626800,5.737626708984375,32427.630859375,1
1615525884747796200,5.914796142578125,0.8983745574951172,1010.158935546875
1615525884927588000,6.094588134765625,1.019918441772461,1010.144287109375
1615525885107588000,6.274588134765625,1.1203250885009766,1010.13232421875
1615525885288701400,6.455701416015625,1.1203250885009766,1010.13232421875
1615525885474826200,6.641826171875,1.0754051208496094,1010.1376953125
1615525885654963500,6.82196337890625,1.1203250885009766,1010.132080078125
1615525885825129000,6.99212890625,1.0674800872802734,1010.138427734375
1615525886015274500,7.1822744140625,1.093902587890625,1010.135498046875
1615525886195274500,7.3622744140625,1.0252017974853516,1010.1435546875
1615525886366742300,7.5337421875,1.0252017974853516,1010.1435546875
1615525886546109200,7.713109130859375,1.0093498229980469,1010.1455078125
1615525886726848000,7.893847900390625,1.0780487060546875,1010.13720703125
1615525886906170400,8.07317041015625,32427.630859375,1
1615525887098487600,8.265487548828125,1.1414623260498047,1010.129638671875
1615525887278487600,8.445487548828124,1.1203250885009766,1010.13232421875
1615525887452485000,8.619485107421875,1.1203250885009766,1010.13232421875
1615525887639419000,8.8064189453125,1.0991859436035156,1010.134765625
1615525887811035000,8.978034912109376,1.1203250885009766,1010.132080078125
1615525887987294700,9.154294677734375,1.0833320617675781,1010.13671875
1615525888168952600,9.33595263671875,32427.630859375,1
1615525888348952600,9.51595263671875,1.1890239715576172,1010.1240234375
1615525888527676400,9.694676513671874,1.1890239715576172,1010.1240234375
1615525888707676200,9.87467626953125,1.165243148803711,1010.126708984375
1615525888890543900,10.0575439453125,1.165243148803711,1010.126708984375
1615525889070544000,10.2375439453125,1.3924789428710938,1010.099609375
1615525889254195200,10.4211953125,1.3924789428710938,1010.099609375
1615525889440679700,10.6076796875,1.405691146850586,1010.09814453125
1615525889613180400,10.780180419921875,1.458536148071289,1010.091552734375
1615525889789352700,10.956352783203124,1.458536148071289,1010.091552734375
1615525889969201000,11.136200927734375,1.4611778259277344,1010.09130859375
1615525890154005200,11.321005126953125,32427.630859375,1
1615525890331174100,11.498174072265625,1.4400405883789062,1010.093994140625
1615525890511087600,11.678087646484375,1.3554878234863281,1010.10400390625
1615525890693041400,11.86004150390625,1.3237800598144531,1010.10791015625
1615525890873041400,12.04004150390625,1.2471542358398438,1010.116943359375
1615525891050200600,12.21720068359375,1.2471542358398438,1010.116943359375
1615525891242837000,12.4098369140625,1.2022342681884766,1010.12255859375
1615525891410437400,12.577437255859374,1.093902587890625,1010.13525390625
1615525891590943700,12.75794384765625,1.0701217651367188,1010.13818359375
1615525891776591600,12.943591552734375,32427.630859375,1
1615525891962206500,13.12920654296875,1.104471206665039,1010.13427734375
1615525892134177800,13.301177734375,1.0806903839111328,1010.136962890625
1615525892314177800,13.481177734375,1.1203250885009766,1010.132080078125
1615525892493657900,13.660657958984375,1.1203250885009766,1010.132080078125
1615525892682045200,13.849045166015625,1.1282520294189453,1010.131103515625
1615525892862045200,14.029045166015624,1.2365856170654297,1010.118408203125
1615525893044044800,14.211044921875,1.2365856170654297,1010.118408203125
1615525893212152600,14.379152587890625,1.1493892669677734,1010.12890625
1615525893392152600,14.559152587890624,1.0674800872802734,1010.138671875
1615525893576851200,14.743851318359376,1.0674800872802734,1010.138671875
1615525893753530000,14.920530029296875,1.165243148803711,1010.126708984375
1615525893942558500,15.109558349609374,1.1123981475830078,1010.133056640625
1615525894118567700,15.285567626953124,1.0067062377929688,1010.145751953125
1615525894298567700,15.465567626953124,1.0252017974853516,1010.1435546875
1615525894473396700,15.640396728515626,1.0252017974853516,1010.1435546875
1615525894663430400,15.830430419921875,1.030487060546875,1010.142822265625
1615525894833943800,16.00094384765625,0.9829273223876953,1010.148681640625
