time,seconds_elapsed,y,z,x
1615525878977187300,0.144187255859375,9.059659004211426,-6.296750545501709,0.3148375153541565
1615525878986706200,0.1537060546875,6.869330406188965,-6.048710346221924,0.23855295777320862
1615525878995461400,0.16246142578125,5.051979064941406,-5.522287845611572,0.14661218225955963
1615525879005461200,0.172461181640625,2.4833803176879883,-3.9785375595092773,0.05219312012195587
1615525879011895300,0.178895263671875,2.4833803176879883,-3.9785375595092773,0.05219312012195587
1615525879021971000,0.188970947265625,1.7901992797851562,-3.0063116550445557,0.06891775131225586
1615525879031970800,0.198970703125,0.9342241287231445,-1.7378630638122559,0.001317054033279419
1615525879038379000,0.20537890625,0.9342241287231445,-1.7378630638122559,0.001317054033279419
1615525879043134000,0.210134033203125,0.7951040267944336,-1.4213604927062988,-0.02739711105823517
1615525879053133800,0.2201337890625,0.4337739944458008,-0.8277554512023926,-0.02781565487384796
1615525879062547700,0.229547607421875,0.4337739944458008,-0.8277554512023926,-0.02781565487384796
1615525879074241000,0.241240966796875,0.29141712188720703,-0.6234579086303711,-0.0062032341957092285
1615525879085055200,0.25205517578125,0.19989967346191406,-0.5554792881011963,0.005598545074462891
1615525879092181200,0.25918115234375,0.10560226440429688,-0.45090651512145996,0.08858078718185425
1615525879106310700,0.273310546875,0.05979347229003906,-0.24832868576049805,0.08697187900543213
1615525879112641000,0.27964111328125,0.07342720031738281,-0.2775075435638428,0.1001771092414856
1615525879122641000,0.289640869140625,0.015976905822753906,-0.14548349380493164,0.06547170877456665
1615525879128913200,0.2959130859375,0.015976905822753906,-0.14548349380493164,0.06547170877456665
1615525879133218300,0.30021826171875,0.043975830078125,-0.255420446395874,0.012520909309387207
1615525879143218400,0.310218505859375,0.07075786590576172,-0.145050048828125,0.023163139820098877
1615525879154792700,0.321792724609375,0.07075786590576172,-0.145050048828125,0.023163139820098877
1615525879159749600,0.32674951171875,-0.1502218246459961,-0.21364903450012207,-0.12601634860038757
1615525879169749500,0.33674951171875,-0.19164657592773438,-0.18661737442016602,-0.09181173145771027
1615525879181216300,0.34821630859375,-0.19164657592773438,-0.18661737442016602,-0.09181173145771027
1615525879185120800,0.352120849609375,-0.2009286880493164,-0.16423988342285156,-0.0827469676733017
1615525879195120600,0.36212060546875,-0.07308006286621094,-0.20243477821350098,0.07339227199554443
1615525879202205200,0.369205078125,-0.07308006286621094,-0.20243477821350098,0.07339227199554443
1615525879212240400,0.379240478515625,-0.2169818878173828,-0.08778095245361328,0.018942177295684814
1615525879222240500,0.389240478515625,-0.1841583251953125,-0.17134785652160645,0.015868306159973145
1615525879228626200,0.395626220703125,-0.2655611038208008,0.08243751525878906,-0.01286211609840393
1615525879235130000,0.402130126953125,-0.05522918701171875,0.3474569320678711,0.05555573105812073
1615525879245130000,0.4121298828125,0.12344741821289062,0.25380778312683105,0.10375571250915527
1615525879252355600,0.41935546875,0.12344741821289062,0.25380778312683105,0.10375571250915527
1615525879262280400,0.429280517578125,-0.07413101196289062,0.09604597091674805,-0.11486265063285828
1615525879272280300,0.4392802734375,0.031731605529785156,0.04486203193664551,-0.048056334257125854
1615525879278665500,0.44566552734375,0.031731605529785156,0.04486203193664551,-0.048056334257125854
