time,seconds_elapsed,lux
1615525879160432600,0.3274326171875,116
1615525879340113000,0.50711279296875,118
1615525879523856000,0.69085595703125,130
1615525879707580700,0.87458056640625,128
1615525879884471800,1.051471923828125,122
1615525880069711400,1.23671142578125,116
1615525880604273200,1.771273193359375,113
1615525880604291800,1.771291748046875,113
1615525880604319000,1.771319091796875,113
1615525880781144300,1.948144287109375,120
1615525880968992000,2.135991943359375,125
1615525881145118200,2.3121181640625,129
1615525881324676900,2.4916767578125,137
1615525881689522400,2.8565224609375,139
1615525881689548300,2.85654833984375,139
1615525881872494300,3.039494384765625,135
1615525882048384500,3.215384521484375,124
1615525882406418000,3.57341796875,124
1615525882406430500,3.573430419921875,124
1615525882583557400,3.750557373046875,139
1615525882764239400,3.9312392578125,137
1615525882944262700,4.1112626953125,139
1615525883125858600,4.292858642578125,134
1615525883305510000,4.472510009765625,129
1615525883487460400,4.65446044921875,129
1615525883673901600,4.840901611328125,123
1615525884028055600,5.1950556640625,120
1615525884028077600,5.19507763671875,120
1615525884209596200,5.37659619140625,120
1615525884385000700,5.552000732421875,120
1615525884571326200,5.738326171875,120
1615525884748654000,5.915654052734375,121
1615525884928412400,6.095412353515625,120
1615525885289310200,6.456310302734375,118
1615525885289342700,6.4563427734375,118
1615525885475738400,6.64273828125,116
1615525885655511800,6.82251171875,127
1615525885826724900,6.993724853515625,123
1615525886015824400,7.182824462890625,131
1615525886367242000,7.534241943359375,117
1615525886367254300,7.534254150390625,117
1615525886546570800,7.71357080078125,124
1615525886727298000,7.894298095703125,121
1615525886906859800,8.07385986328125,121
1615525887099188200,8.266188232421875,122
1615525887453266700,8.6202666015625,115
1615525887453287700,8.62028759765625,115
1615525887640107000,8.80710693359375,108
1615525887812564000,8.97956396484375,111
1615525887987750000,9.15475,108
1615525888169454800,9.336454833984375,111
1615525888528335000,9.695335205078125,115
1615525888528350500,9.6953505859375,115
1615525888891158300,10.058158203125,106
1615525888891171600,10.058171630859375,106
1615525889254926600,10.421926513671876,108
1615525889254941700,10.421941650390625,108
1615525889441181400,10.608181396484374,89
1615525889613695200,10.7806953125,75
1615525889790538500,10.95753857421875,65
1615525889969833500,11.13683349609375,67
1615525890154547500,11.32154736328125,96
1615525890331913200,11.498913330078125,136
1615525890511649300,11.678649169921876,130
1615525890693739500,11.860739501953125,137
1615525891050864000,12.217864013671875,128
1615525891050877200,12.217877197265626,128
1615525891243571500,12.410571533203125,131
1615525891411173000,12.578173095703125,127
1615525891592442400,12.7594423828125,127
1615525891777133600,12.944133544921876,127
1615525891962869200,13.129869140625,131
1615525892134556200,13.30155615234375,133
1615525892495366700,13.66236669921875,135
1615525892495379700,13.662379638671876,135
1615525892682744600,13.84974462890625,134
1615525893044657700,14.21165771484375,133
1615525893044679000,14.211678955078124,133
1615525893212767200,14.379767333984375,134
1615525893577502000,14.744501953125,134
1615525893577520600,14.744520751953125,134
1615525893754162700,14.92116259765625,134
1615525893943235800,15.11023583984375,135
1615525894119254500,15.286254638671876,134
1615525894473906000,15.640906005859375,134
1615525894473920300,15.640920166015626,134
1615525894664169200,15.831169189453124,134
1615525894835452400,16.002452392578125,134
1615525895017798000,16.1847978515625,134
1615525895194835700,16.361835693359374,134
1615525895376196900,16.54319677734375,134
1615525895735449300,16.902449462890626,134
1615525895735479000,16.90247900390625,134
1615525895915904300,17.082904296875,134
1615525896290567200,17.457567138671877,134
1615525896290598100,17.45759814453125,134
1615525896455858200,17.622858154296875,132
1615525896648022300,17.815022216796876,120
1615525896817022200,17.984022216796873,123
1615525896998229500,18.1652294921875,119
1615525897179586000,18.3465859375,121
1615525897362805500,18.529805419921875,115
1615525897539174100,18.706174072265625,119
1615525897905043500,19.07204345703125,126
1615525897905066000,19.07206591796875,126
1615525898087621400,19.254621337890626,120
1615525898257788700,19.42478857421875,114
1615525898450204200,19.6172041015625,104
1615525898628768500,19.7957685546875,126
1615525898800001500,19.96700146484375,162
1615525898978493400,20.145493408203127,136
1615525899162994400,20.329994384765627,116
1615525899348374300,20.515374267578125,116
1615525899521620000,20.688619873046875,116
1615525899706592500,20.873592529296875,118
1615525899888890600,21.055890625,122
1615525900059751400,21.22675146484375,126
1615525900239572500,21.406572509765624,127
1615525900423092500,21.590092529296875,128
1615525900601933000,21.76893310546875,129
1615525900781249300,21.948249267578124,129
1615525900964297200,22.131297119140626,127
1615525901150505000,22.3175048828125,126
1615525901326260500,22.493260498046876,118
1615525901690954500,22.85795458984375,116
1615525901690972400,22.857972412109376,116
1615525901861037300,23.028037353515625,118
1615525902049108500,23.2161083984375,116
1615525902221588500,23.38858837890625,113
1615525902405269200,23.572269287109375,115
1615525902585086000,23.7520859375,117
1615525902944165000,24.1111650390625,118
1615525902944179000,24.111178955078124,118
1615525903314309000,24.48130908203125,121
1615525903314326500,24.481326416015627,121
1615525903665162200,24.832162353515624,121
1615525903665175600,24.832175537109375,121
1615525903843100700,25.0101005859375,121
1615525904026513200,25.19351318359375,122
