,Unnamed: 0,Pin Code,Video Timestamp,Time Passed,X-Coord (Both),Y-Coord (Both),X-Coord (Head),Y-Coord (Head),X-Coord (Eye),Y-Coord (Eye),Current Timestamp,Accelerometer_y,Accelerometer_z,Accelerometer_x,Barometer_relativeAltitude,Barometer_pressure,Gravity_y,Gravity_z,Gravity_x,Gyroscope_y,Gyroscope_z,Gyroscope_x,Light_lux,Magnetometer_y,Magnetometer_z,Magnetometer_x,Orientation_qy,Orientation_qx,Orientation_yaw,Orientation_qw,Orientation_qz,Orientation_roll,Orientation_pitch
14,14,3717,2021-03-12 13:11:26,501.3368983957219,523,1067,465,1046,58,21,2021-03-12 13:11:26.501,-0.3692235946655273,1.022072315216064,0.4732723236083984,1.009349822998047,1010.1455078125,9.380998611450195,2.856534481048584,0.085773766040802,-0.04687163606286049,-0.004261057823896408,-0.01384843792766333,124.0,60.77999877929688,-38.39999771118164,-29.21999931335449,-0.1524199992418289,0.5754349827766418,0.4773394167423248,0.7785810232162476,-0.1986290067434311,-0.03001819178462028,-1.275086760520935
15,15,3717,2021-03-12 13:11:26,534.75935828877,514,1075,455,1055,59,20,2021-03-12 13:11:26.535,-0.3471660614013672,1.12753438949585,0.6383913159370422,1.009349822998047,1010.1455078125,9.378094673156738,2.865993976593018,0.08824892342090608,0.06604639440774918,-0.04367584362626076,0.09800432622432707,124.0,60.77999877929688,-38.39999771118164,-29.21999931335449,-0.1521659940481186,0.5750830173492432,0.4757428467273712,0.7789769768714905,-0.1982920020818711,-0.03078200854361058,-1.274072289466858
16,16,3717,2021-03-12 13:11:26,568.1818181818181,514,1075,456,1054,58,21,2021-03-12 13:11:26.568,-0.2728204727172852,0.5149352550506592,0.2849732935428619,1.009349822998047,1010.1455078125,9.38994026184082,2.827370405197144,0.07295987755060196,0.1810949593782425,-0.02876213937997818,0.1395496428012848,124.0,60.77999877929688,-38.34000015258789,-29.34000015258789,-0.150736004114151,0.5771679878234863,0.4762035310268402,0.7780990004539491,-0.1967670023441315,-0.02579912729561329,-1.278231978416443
17,17,3717,2021-03-12 13:11:26,601.6042780748662,517,1075,459,1054,58,21,2021-03-12 13:11:26.602,-0.3385276794433594,0.210587739944458,0.5424084067344666,1.009349822998047,1010.1455078125,9.39339828491211,2.815683126449585,0.07888692617416382,-0.0884169489145279,-0.01171790901571512,-0.09587380290031433,124.0,60.84000015258789,-38.34000015258789,-29.34000015258789,-0.1504520028829575,0.5777580142021179,0.4718564450740814,0.7780010104179382,-0.1956350058317184,-0.02800964936614037,-1.279456853866577
18,18,3717,2021-03-12 13:11:26,635.0267379679143,518,1071,462,1048,56,23,2021-03-12 13:11:26.635,-0.1944417953491211,0.2592434883117676,0.5709735751152039,1.009349822998047,1010.1455078125,9.383387565612793,2.848430395126343,0.09341741353273393,-0.1054611802101135,-0.04474110901355743,-0.1033306494355202,124.0,60.89999771118164,-38.27999877929688,-29.34000015258789,-0.1512780040502548,0.5760949850082397,0.469370037317276,0.7789139747619629,-0.1962690055370331,-0.0327843502163887,-1.27592408657074
19,19,3717,2021-03-12 13:11:26,668.4491978609625,519,1071,464,1048,55,23,2021-03-12 13:11:26.668,-0.5228767395019531,2.060802698135376,0.287682831287384,1.078048706054688,1010.13720703125,9.390999794006348,2.823368787765503,0.08940394222736359,0.1363538503646851,-0.03941478580236435,0.1906823366880417,121.0,60.89999771118164,-38.21999740600586,-29.34000015258789,-0.1507309973239899,0.5773460268974304,0.4681742191314697,0.7783349752426147,-0.1953089982271194,-0.03165511786937714,-1.278606653213501
20,20,3717,2021-03-12 13:11:26,701.8716577540108,519,1074,462,1052,57,22,2021-03-12 13:11:26.702,-0.3759269714355469,0.6132605075836182,0.3821645081043243,1.078048706054688,1010.13720703125,9.402067184448242,2.786505937576294,0.08111351728439331,0.02343581803143024,-0.0511326938867569,0.04580637067556381,121.0,60.95999908447266,-38.15999984741211,-29.34000015258789,-0.1503479927778244,0.5790709853172302,0.4690716862678528,0.7772859930992126,-0.1946700066328049,-0.02910118363797665,-1.28255045413971
21,21,3717,2021-03-12 13:11:26,735.2941176470587,517,1071,461,1048,56,23,2021-03-12 13:11:26.735,-0.3282699584960937,0.5326211452484131,0.4395003914833069,1.078048706054688,1010.13720703125,9.402294158935547,2.785742521286011,0.08123846352100372,-0.05539375171065331,-0.03834952041506767,-0.08096009492874147,121.0,60.95999908447266,-38.09999847412109,-29.34000015258789,-0.1505350023508072,0.5790560245513916,0.4696221947669983,0.7772049903869629,-0.1948940008878708,-0.02915396541357041,-1.282631993293762
22,22,3717,2021-03-12 13:11:26,768.7165775401068,519,1071,459,1050,60,21,2021-03-12 13:11:26.769,-0.4732904434204102,1.201215028762817,0.4426483809947968,1.078048706054688,1010.13720703125,9.398874282836914,2.797101736068726,0.0876673236489296,-0.01171790901571512,-0.01065264455974102,-0.01278317347168922,121.0,60.89999771118164,-38.09999847412109,-29.34000015258789,-0.1506990045309067,0.5785130262374878,0.4676423668861389,0.7775939702987671,-0.1948319971561432,-0.03133194148540497,-1.281407356262207
23,23,3717,2021-03-12 13:11:26,802.1390374331551,523,1067,467,1044,56,23,2021-03-12 13:11:26.802,-0.2654323577880859,1.004867315292358,0.5478031039237976,1.078048706054688,1010.13720703125,9.401705741882324,2.787548065185547,0.0878574401140213,0.02450108155608177,-0.04367584362626076,0.04900216311216354,121.0,60.84000015258789,-38.09999847412109,-29.34000015258789,-0.1509480029344559,0.5788689851760864,0.4679562449455261,0.7772529721260071,-0.1949409991502762,-0.03150739148259163,-1.282420873641968
24,24,3717,2021-03-12 13:11:26,835.5614973262033,525,1060,468,1038,57,22,2021-03-12 13:11:26.836,-0.4531965255737305,0.7783563137054443,0.3026121258735657,32427.630859375,1.0,9.402722358703613,2.784215927124023,0.0840514749288559,-0.01171790901571512,-0.006391586735844612,-0.03302319720387459,121.0,60.65999984741211,-38.09999847412109,-29.34000015258789,-0.1509470045566559,0.5790159702301025,0.4696221947669983,0.7770829796791077,-0.1951809972524643,-0.03017939440906048,-1.282785773277283
25,25,3717,2021-03-12 13:11:26,868.9839572192512,530,1055,473,1033,57,22,2021-03-12 13:11:26.869,-0.4823455810546875,1.009721040725708,0.5230607390403748,32427.630859375,1.0,9.403141021728516,2.782694339752197,0.08865779638290405,0.01278317347168922,-0.01810949668288231,0.01810949668288231,121.0,60.53999710083008,-38.09999847412109,-29.34000015258789,-0.1513530015945435,0.5789769887924194,0.4687405526638031,0.7770010232925415,-0.1953119933605194,-0.03184964135289192,-1.282935857772827
26,26,3717,2021-03-12 13:11:26,902.4064171122993,523,1068,466,1046,57,22,2021-03-12 13:11:26.902,-0.3873472213745117,0.7153387069702148,0.4496980011463165,32427.630859375,1.0,9.403910636901855,2.780195713043213,0.0854061022400856,-0.1203748807311058,-0.07989483326673508,-0.08735168725252151,121.0,60.47999954223633,-38.09999847412109,-29.27999877929688,-0.1516319960355759,0.579014003276825,0.4711490869522095,0.7767710089683533,-0.1958999931812286,-0.03070979937911034,-1.283212661743164
27,27,3717,2021-03-12 13:11:26,935.8288770053476,517,1074,461,1053,56,21,2021-03-12 13:11:26.936,-0.1949014663696289,0.6898674964904785,0.3638900220394135,32427.630859375,1.0,9.393424034118652,2.815243721008301,0.08981120586395264,-0.04261057823896408,-0.01384843792766333,-0.06604639440774918,121.0,60.41999816894531,-38.09999847412109,-29.27999877929688,-0.1521749943494797,0.5773259997367859,0.472590297460556,0.7776309847831726,-0.1970410048961639,-0.03189093619585037,-1.279466032981873
28,28,3717,2021-03-12 13:11:26,969.2513368983957,523,1076,466,1054,57,22,2021-03-12 13:11:26.969,-0.3951292037963867,1.34319806098938,0.561117947101593,32427.630859375,1.0,9.392539024353027,2.81792426109314,0.09848463535308838,0.0415453128516674,-0.02343581803143024,0.07989483326673508,121.0,60.3599967956543,-37.97999954223633,-29.34000015258789,-0.1522569954395294,0.5771859884262085,0.4688714444637298,0.7778580188751221,-0.196492999792099,-0.03493513539433479,-1.279151916503906
29,29,3717,2021-03-12 13:11:26,1002.6737967914438,523,1076,465,1054,58,22,2021-03-12 13:11:27.003,-0.2951202392578125,0.7193605899810791,0.4529455900192261,1.141462326049805,1010.129638671875,9.39787483215332,2.800115823745728,0.0965237095952034,0.01917476020753384,-0.04261057823896408,-0.002130528911948204,122.0,60.3599967956543,-37.91999816894531,-29.34000015258789,-0.1525489985942841,0.5778949856758118,0.4699428081512451,0.7772330045700073,-0.1966529935598373,-0.03445768356323242,-1.281050682067871
30,30,3717,2021-03-12 13:11:26,1036.0962566844921,523,1074,465,1052,58,22,2021-03-12 13:11:27.036,-0.4955587387084961,1.009045124053955,0.380045473575592,1.141462326049805,1010.129638671875,9.39720058441162,2.802524089813232,0.09280936419963837,-0.04580637067556381,-0.04900216311216354,0.04900216311216354,122.0,60.41999816894531,-37.86000061035156,-29.34000015258789,-0.1525669991970063,0.57778400182724,0.4719012975692749,0.7772150039672852,-0.1970379948616028,-0.03310424834489822,-1.280809998512268
31,31,3717,2021-03-12 13:11:26,1069.51871657754,520,1077,462,1056,58,21,2021-03-12 13:11:27.070,-0.5403642654418945,1.217525959014893,0.3219581544399261,1.141462326049805,1010.129638671875,9.403698921203613,2.78079080581665,0.08864742517471312,0.05965480953454971,-0.07776430249214172,0.1544633507728577,122.0,60.53999710083008,-37.79999923706055,-29.34000015258789,-0.1525940001010895,0.5787349939346313,0.4729406535625458,0.776528000831604,-0.1969359964132309,-0.03186770156025887,-1.283136367797852
32,32,3717,2021-03-12 13:11:26,1102.941176470588,517,1078,459,1058,58,20,2021-03-12 13:11:27.103,-0.337183952331543,0.6268532276153564,0.2591398954391479,1.141462326049805,1010.129638671875,9.415996551513672,2.739394426345825,0.07006283849477768,0.0511326938867569,-0.02556634694337845,0.04580637067556381,122.0,60.53999710083008,-37.73999786376953,-29.34000015258789,-0.1518869996070862,0.5807409882545471,0.4775459468364716,0.7752509713172913,-0.1966080069541931,-0.02557045966386795,-1.287590026855469
33,33,3717,2021-03-12 13:11:26,1136.3636363636365,524,1071,466,1052,58,19,2021-03-12 13:11:27.136,-0.5649652481079102,0.9024202823638916,0.5413533449172974,1.141462326049805,1010.129638671875,9.413934707641602,2.74634313583374,0.07515358924865723,-0.1267664730548858,-0.04367584362626076,-0.0649811327457428,122.0,60.65999984741211,-37.68000030517578,-29.39999961853027,-0.1527210026979446,0.5802170038223267,0.4782674312591553,0.7752640247344971,-0.1974560022354126,-0.02735813893377781,-1.286838531494141
34,34,3717,2021-03-12 13:11:26,1169.7860962566845,526,1072,467,1052,59,20,2021-03-12 13:11:27.170,-0.3844118118286133,1.280689239501953,0.4388867914676666,1.141462326049805,1010.129638671875,9.415340423583984,2.741569519042969,0.07227525860071182,0.05006742849946022,-0.03195793181657791,0.07989483326673508,122.0,60.71999740600586,-37.61999893188477,-29.39999961853027,-0.1529439985752105,0.5803679823875427,0.4802104234695434,0.7749969959259033,-0.1978850066661835,-0.02635662443935871,-1.28735077381134
